process_count,arrival_rate,burst_mean,burst_variance,short_job_ratio,priority_mean,priority_variance,io_frequency,io_cpu_ratio,profile,seed,label,score_fcfs,score_sjf,score_round_robin,score_priority,score_priority_rr
12.0,1.0,8.916666666666666,11.409722222222221,1.0,2.4166666666666665,1.2430555555555556,2.75,1.514018691588785,interactive,420000064,SJF,0.11508790149098733,0.06761922632712537,0.08416289592760182,0.32430159279873755,0.7920081967213115
12.0,1.2,7,11.833333333333334,1.0,2.5833333333333335,1.0763888888888888,2.0833333333333335,1.2380952380952381,interactive,420000065,Round Robin,0.12042107685227794,0.17832473257001558,0.061585365853658536,0.3398920190752295,0.7865566037735849
12.0,0.9230769230769231,8,18.833333333333332,1.0,3.0833333333333335,1.9097222222222223,2.25,1.09375,interactive,420000066,SJF,0.13917974589984938,0.05414746543778803,0.08156582302315932,0.3022763758346523,0.8006912442396313
12.0,1.2,8,12.5,1.0,3.1666666666666665,2.138888888888889,2.25,1.5416666666666667,interactive,420000067,Round Robin,0.09381313651919351,0.1255382323421705,0.0738327904451683,0.27972465581977474,0.8132911392405063
12.0,1.2,9,14.333333333333334,1.0,3.25,2.0208333333333335,3,1.8333333333333333,interactive,420000068,SJF,0.10934714227497325,0.07167235494880546,0.12376203986872984,0.3064586461185198,0.7918088737201365
12.0,0.9230769230769231,8.166666666666666,7.305555555555555,1.0,3.4166666666666665,1.7430555555555556,2.0833333333333335,1.1224489795918366,interactive,420000069,SJF,0.1568173485272548,0.09658618242912603,0.11701050536108482,0.30098432721712537,0.8157327586206897
12.0,1.0,8.333333333333334,7.555555555555555,1.0,2.8333333333333335,1.1388888888888888,2.5,1.3,interactive,420000070,Round Robin,0.10910661442576337,0.17235588308842797,0.07226833055645993,0.26963141025641024,0.7948717948717949
12.0,0.9230769230769231,7,5.666666666666667,1.0,3.1666666666666665,2.4722222222222223,2.25,1.6071428571428572,interactive,420000071,Round Robin,0.10008890476245338,0.09218732598284889,0.08978525650760864,0.32229965156794427,0.8378048780487806
12.0,1.0,8.833333333333334,20.13888888888889,1.0,3.75,1.3541666666666667,2.6666666666666665,1.6037735849056605,interactive,420000072,SJF,0.07803621414243109,0.02645985401459854,0.04179728317659351,0.26410658307210033,0.7864963503649636
12.0,1.0909090909090908,8.25,6.354166666666667,1.0,3.4166666666666665,1.9097222222222223,2.4166666666666665,1.4141414141414141,interactive,420000073,Round Robin,0.16907651415136013,0.11556603773584906,0.0913088612068204,0.2816892928500072,0.8195754716981132
12.0,1.3333333333333333,8.916666666666666,9.243055555555555,1.0,2.5833333333333335,2.076388888888889,2.8333333333333335,1.560747663551402,interactive,420000074,SJF,0.1667222318304886,0.0926669202355008,0.1108354011579818,0.3006579990486761,0.7835365853658536
